id	link	name	owner_name	catalog_type	owner_type	software	langs	content_types	access_mode	countries	tags	status	api	owner_link	catalog_export	api_status
catalogzamgacat	https://catalog.zamg.ac.at/geonetwork	ZAMG Metadatenkatalog	GeoSphere Austria	Geoportal	Central government	Geonetwork	EN	dataset,map_layer	open	Austria	geospatial,government,has_api	active	True	https://www.zamg.ac.at		uncertain
databevgvat	https://data.bev.gv.at/geonetwork	Datenkatalog BEV	BEV Bundesamt für Vermessungswesen	Geoportal	Central government	Geonetwork	EN	dataset,map_layer	open	Austria	geospatial,government,has_api	active	True	https://www.bev.gv.at		uncertain
geonetworklebensraumvernetzungat	https://geonetwork.lebensraumvernetzung.at/geonetwork	Lebensraumvernetzung Geodata	Bundesministerium für Klimaschutz, Umwelt, Energie, Mobilität, Innovation und Technologie (BMK)	Geoportal	Central government	Geonetwork	DE	dataset,map_layer	open	Austria	geospatial,government,has_api	active	True	https://lebensraumvernetzung.at		uncertain
vogiscnvat	https://vogis.cnv.at/geonetwork	VoGIS Metadatenkatalog	Landesamt für Vermessung und Geoinformation	Geoportal	Central government	Geonetwork	DE	dataset,map_layer	open	Austria	geospatial,government,has_api	active	True	https://vorarlberg.at		uncertain
z-api-test	https://gis.ktn.gv.at/osgdi/stac/	z API Test	Land Karnten Austria	Geoportal	Central government	Stac-server	EN	dataset,map_layer	private	Austria	geospatial,government,has_api	active	True			active
datagvat	https://data.gv.at	Offene Daten Österreich | data.gv.at		Open data portal	Central government	CKAN	DE	dataset	open	Austria	government,has_api	active	True			active
datahubzamgacat	https://data.hub.zamg.ac.at	Geosphere Austria Open Data	GeoSphere Austria – Bundesanstalt für Geologie, Geophysik, Klimatologie und Meteorologie	Open data portal	Academy	CKAN	EN	dataset	open	Austria	has_api	active	True	https://zamg.ac.at		active
datastatistikgvat	https://data.statistik.gv.at	Statisk Austria Open Data	Statistik Austria	Open data portal	Central government	Custom software	DE	dataset	open	Austria	government	active				uncertain
dataaussdaat	https://data.aussda.at	AUSSDA Dataverse	AUSSDA - The Austrian Social Science Data Archive	Scientific data repository	Academy	Dataverse	DE	dataset	open	Austria	scientific,has_api	active	True			active
datacccaacat	https://data.ccca.ac.at	CCCA Data Server	The Climate Change Centre Austria – CCCA	Scientific data repository	Academy	CKAN	EN	dataset	open,limited	Austria	scientific,has_api	active	True			active
repositorytugrazat	https://repository.tugraz.at	TU GRAZ Repository Library & Archive	TU Graz	Scientific data repository	Academy	InvenioRDM	EN	dataset	open	Austria	scientific,has_api	active	True			active
researchdatatuwienacat	https://researchdata.tuwien.ac.at	TU Wien Research Data	TU Wien	Scientific data repository	Academy	InvenioRDM	EN	dataset	open,limited	Austria	scientific,has_api	active	True			active
researchdatauibkacat	https://researchdata.uibk.ac.at	Universität Innsbruck - Data Repository	Universität Innsbruck	Scientific data repository	Academy	InvenioRDM	EN	dataset	open,limited	Austria	scientific,has_api	active	True			active
researchexploreristaacat	https://research-explorer.ista.ac.at	ISTA Research Explorer		Scientific data repository	Academy	LibreCat	EN	dataset	open,limited	Austria	scientific	active				uncertain
apigovau	https://api.gov.au	API Gov AU	Government of Australia	API Catalog	Central government	Custom software	EN	api endpoint	open,limited	Australia	government	active				uncertain
developervicgovau	https://developer.vic.gov.au	The Victorian Government Developers portal and API Catalogue		API Catalog	Regional government	Custom software	EN	api endpoint	open,limited	Australia	government	active				uncertain
actmapiactgovopendataarcgiscom	https://actmapi.actgov.opendata.arcgis.com	Geospatial Data Catalogue	Geospatial Data Catalogue	Geoportal	Central government	ArcGIS Hub	EN	dataset,map_layer	open	Australia	geospatial,government,has_api	active	True			active
catalogsarigsagovau	https://catalog.sarig.sa.gov.au/geonetwork	South Australia Geoscience metadata	Geological Survey of South Australia	Geoportal	Regional government	Geonetwork	EN	dataset,map_layer	open	Australia	geospatial,government,has_api	active	True			uncertain
catalogueaodnorgau	https://catalogue.aodn.org.au/geonetwork	Catalogue AODN	University of Tasmania	Geoportal	Academy	Geonetwork	EN	dataset,map_layer	open	Australia	geospatial,government,has_api	active	True			uncertain
data1hobartccopendataarcgiscom	https://data-1.hobartcc.opendata.arcgis.com	City of Hobart	City of Hobart	Geoportal	Local government	ArcGIS Hub	EN	dataset,map_layer	open	Australia	geospatial,government,has_api	active	True			active
datamelbournewateropendataarcgiscom	https://data.melbournewater.opendata.arcgis.com	Melbourne Water Open Data Portal	Melbourne Water	Geoportal	Regional government	ArcGIS Hub	EN	dataset,map_layer	open	Australia	geospatial,government,has_api	active	True			active
dataplanvicopendataarcgiscom	https://data.planvic.opendata.arcgis.com	Metropolitan Planning Authority	Metropolitan Planning Authority	Geoportal	Regional government	ArcGIS Hub	EN	dataset,map_layer	open	Australia	geospatial,government,has_api	active	True			active
digitalearthau	https://explorer.sandbox.dea.ga.gov.au/stac/	Digital Earth Australia		Geoportal	Central government	Stac-server	EN	dataset,map_layer	public	Australia	geospatial,government,has_api	active	True			uncertain
eatlasorgau	https://eatlas.org.au/geonetwork	eAtlas Data Catalogue	Australian Institute of Marine Science	Geoportal	Academy	Geonetwork	EN	dataset,map_layer	open	Australia	geospatial,government,has_api	active	True			uncertain
ecatgagovau	https://ecat.ga.gov.au/geonetwork	Geoscience Australia		Geoportal	Central government	Geonetwork	EN	dataset,map_layer	open	Australia	geospatial,government,has_api	active	True			uncertain
geonetworkappsaimsgovau	https://geonetwork.apps.aims.gov.au/geonetwork	AIMS Geonetwork	Australian Institute of Marine Science	Geoportal	Academy	Geonetwork	EN	dataset,map_layer	open	Australia	geospatial,government,has_api	active	True			uncertain
geonetworkgeosciencenswgovau	https://geonetwork.geoscience.nsw.gov.au/geonetwork	NSW Geoscience metadata	Geological Survey of NSW	Geoportal	Regional government	Geonetwork	EN	dataset,map_layer	open	Australia	geospatial,government,has_api	active	True			uncertain
geonetworknciorgau	https://geonetwork.nci.org.au/geonetwork	NCI Data Catalogue	NCI Australia	Geoportal	Academy	Geonetwork	EN	dataset,map_layer	open	Australia	geospatial,government,has_api	active	True			uncertain
geonetworkternorgau	https://geonetwork.tern.org.au/geonetwork	Metashare PROD (Australia, Victoria)	State Government of Victoria	Geoportal	Regional government	Geonetwork	EN	dataset,map_layer	open	Australia	geospatial,government,has_api	active	True			uncertain
metadataimasutaseduau	https://metadata.imas.utas.edu.au/geonetwork	IMAS Metadata Catalogue	University of Tasmania	Geoportal	Academy	Geonetwork	EN	dataset,map_layer	open	Australia	geospatial,government,has_api	active	True			uncertain
geonetworkternorgau	https://metashare.maps.vic.gov.au/geonetwork	Metashare PROD (Australia, Victoria)	State Government of Victoria	Geoportal	Regional government	Geonetwork	EN	dataset,map_layer	open	Australia	geospatial,government,has_api	active	True			uncertain
portalauscopeorgau	http://portal.auscope.org.au/geonetwork	AuScope Data Catalogue	AuScope Limited	Geoportal	Academy	Geonetwork	EN	dataset,map_layer	open	Australia	geospatial,government,has_api	active	True			uncertain
