id	link	name	owner_name	owner_link	catalog_type	owner_type	software	langs	content_types	access_mode	countries	tags	status	api	catalog_export	api_status
databsch	https://data.bs.ch	Datenportal Basel-Stadt	Basel Stadt	https://www.bs.ch	Open data portal	Regional government	OpenDataSoft	DE	dataset	open	Switzerland	government,has_api	active	TRUE		uncertain
datadbbch	https://data.sbb.ch	Open Data - working together for an attractive public transport Switzerland	SBB AG	https://www.sbb.ch	Open data portal	Business	OpenDataSoft	EN	dataset	open	Switzerland	government,has_api	active	TRUE		uncertain
datastadtzuerichch	https://data.stadt-zuerich.ch	Stadt Zurich Open Data	Stadt Zurich	https://www.stadt-zuerich.ch	Open data portal	Local government	CKAN	DE	dataset	open	Switzerland	government,has_api	active	TRUE		active
dataszch	https://data.sz.ch	Datenportal des Kantons Schwyz	Kantons Schwyz	https://www.sz.ch	Open data portal	Regional government	OpenDataSoft	DE	dataset	open	Switzerland	government,has_api	active	TRUE		uncertain
opendataswiss	https://opendata.swiss	opendata.swiss	Swiss Confederation Federal Administration	https://admin.ch	Open data portal	Central government	CKAN	DE	dataset	open	Switzerland	government,has_api	active	TRUE		active
opendatatpgch	https://opendata.tpg.ch	Open Data Portal of Geneva Public Transport	TPG	https://www.tpg.ch	Open data portal	Regional government	OpenDataSoft	EN	dataset	open	Switzerland	government,has_api	active	TRUE		uncertain
swisspostopendatasoftcom	https://swisspost.opendatasoft.com	Swiss Post	Swiss Post		Open data portal	Central government	OpenDataSoft	DE	dataset	open	Switzerland	government,has_api	active	TRUE		uncertain
gkhubearthobservationsorg	https://gkhub.earthobservations.org	GEO Knowledge Hub	Group on Earth Observations		Scientific data repository	Academy	InvenioRDM	EN	dataset	open	Switzerland	scientific,has_api	active	TRUE		active
scienceulysseuseu	https://science.ulysseus.eu	Ulysseus Open Science Repository	Ulysseus European University	https://ulysseus.eu	Scientific data repository	Academy	InvenioRDM	EN	dataset	open	Switzerland	scientific,has_api	active	TRUE		active
wwwenvidatch	https://www.envidat.ch	EnviDat	EnviDat		Scientific data repository	Academy	CKAN	EN	dataset	open	Switzerland	scientific,has_api	active	TRUE		active
datagouvci	https://data.gouv.ci	Open Data Cote d Ivoire	Cote d Ivoire Government	https://gouv.ci	Open data portal	Central government	uData	SR	dataset	open	Cote d Ivoire	government,has_api	active	TRUE		active
catalogopatrimonioculturalgobcl	https://catalogo.patrimoniocultural.gob.cl/geonetwork	Catalogo de Metadatos - IDE Patrimonio			Geoportal	Central government	Geonetwork	ES	dataset,map_layer	open	Chile	geospatial,government,has_api	active	TRUE		uncertain
datoscedeuscl	http://datos.cedeus.cl	Red Cedeus			Geoportal	Academy	GeoNode	ES	dataset,map_layer	open	Chile	geospatial	active			active
ideminagrigobcl	https://ide.minagri.gob.cl/geonetwork	Catalogo de Metadatos			Geoportal	Central government	Geonetwork	ES	dataset,map_layer	open	Chile	geospatial,government,has_api	active	TRUE		active
