dbid,name,link,langs,catalog_type,access_mode,content_types,countries,owner_type,software,export_standard,add_date,update_date,catalog_export,description,owner_name,owner_link,search_index,storage_volume,dataset_count,api,api_link
opendatanepalcom,Open Data Nepal ,opendatanepal.com,EN,Open data portal,Open,Dataset,Nepal,Civil society,CKAN,CKAN API,,,,,,,,,,checked,http://opendatanepal.com/api/3
opendatanhsbsanet,Open Data Portal BETA,opendata.nhsbsa.net,EN,Open data portal,Open,Dataset,,,CKAN,CKAN API,,,,,,,,,,checked,https://opendata.nhsbsa.net/api/3
opendatanhsscot,opendata.nhs.scot,opendata.nhs.scot,EN,Open data portal,Open,Dataset,United Kingdom,Government,CKAN,CKAN API,20.3.2023,20.3.2023 11:23,,,,,,,,checked,
opendataoorlogsbronnennl,Netwerk Oorlogsbronnen Open Data Register,opendata.oorlogsbronnen.nl,EN,Open data portal,Open,Dataset,Netherlands,,CKAN,CKAN API,,,,,,,,,,checked,https://opendata.oorlogsbronnen.nl/api/3
opendataozwillocom,Ozwillo - Open Data,opendata.ozwillo.com,FR,Open data portal,Open,Dataset,France,Business,CKAN,CKAN API,,,,,,,,,,checked,https://opendata.ozwillo.com/fr/api/3
opendatapenghugovtw,澎湖縣政府資料開放平台,opendata.penghu.gov.tw,zh_TW,Open data portal,Open,Dataset,Taiwan,Government,CKAN,CKAN API,,,,,,,,,,checked,https://opendata.penghu.gov.tw/api/3
opendatapicturaecom,Picturae Opendata,opendata.picturae.com,NL,Open data portal,Open,Dataset,Netherlands,Business,CKAN,CKAN API,,,,,,,,,,checked,http://opendata.picturae.com/api/3
opendataplzeneu,Databáze otevřených dat města Plzně,opendata.plzen.eu,CZ,Open data portal,Open,Dataset,Czech Republic,Government,CKAN,CKAN API,,,,,,,,,,checked,https://opendata.plzen.eu/api/3
opendataportdebarcelonacat,Portal Open Data del Port de Barcelona,opendata.portdebarcelona.cat,EN,Open data portal,Open,Dataset,Spain,,CKAN,CKAN API,,,,,,,,,,checked,https://opendata.portdebarcelona.cat/api/3
opendataprahaeu,Opendata Praha,opendata.praha.eu,CZ,Open data portal,Open,Dataset,Czech Republic,Government,CKAN,CKAN API,,,,,,,,,,checked,http://opendata.praha.eu/api/3
opendatareunionedffr,Portail d'Opendata de EDF à La Réunion ,opendata-reunion.edf.fr,FR,Open data portal,Open,Dataset,France,Business,OpenDataSoft,OpenDataSoft API,,,,,,,,,,,
opendatascot,Open Data Scotland,opendata.scot,EN,Open data portal,Open,Dataset,United Kingdom,Government,JKAN,,26.3.2023,26.3.2023 00:00,,,,,,,,,
opendatasemarangkotagoid,,opendata.semarangkota.go.id,EN,Open data portal,Open,Dataset,Indonesia,Government,CKAN,CKAN API,,,,,,,,,,checked,http://opendata.semarangkota.go.id/api/3
opendatasjgovorg,San Joaquin County Open Data,opendata.sjgov.org,EN,Open data portal,Open,Dataset,United States,Government,CKAN,CKAN API,,,,,,,,,,checked,https://opendata.sjgov.org/api/3
opendataslavradagovua,Портал відкритих даних Слов'янська,opendata.slavrada.gov.ua,UK,Open data portal,Open,Dataset,Ukraine,Government,CKAN,CKAN API,,,,,,,,,,checked,http://opendata.slavrada.gov.ua/api/3
opendataslavutamvkgovua,Портал відкритих даних Славутської міської ради,opendata.slavuta-mvk.gov.ua,UK,Open data portal,Open,Dataset,Ukraine,Government,CKAN,CKAN API,,,,,,,,,,checked,https://opendata.slavuta-mvk.gov.ua/api/3
opendatastorebrussels,Brussels open datastore,opendatastore.brussels,EN,Open data portal,Open,Dataset,Belgium,Government,CKAN,CKAN API,,,,,,,,,,checked,http://opendatastore.brussels/api/3
opendataswiss,opendata.swiss,opendata.swiss,DE,Open data portal,Open,Dataset,Switzerland,Government,CKAN,CKAN API,,,,,,,,,,checked,https://opendata.swiss/api/3
opendataugres,OpenData UGR,opendata.ugr.es,ES,Open data portal,Open,Dataset,Spain,,CKAN,CKAN API,,,,,,,,,,checked,https://opendata.ugr.es/api/3
opendatavlaanderenbe,Vlaanderen.be,opendata.vlaanderen.be,NL,Open data portal,Open,Dataset,Netherlands,Government,CKAN,CKAN API,,,,,,,,,,checked,https://opendata.vlaanderen.be/api/3
opendatawigangovuk,,opendata.wigan.gov.uk,EN,Open data portal,Open,Dataset,United Kingdom,Government,CKAN,CKAN API,,,,,,,,,,checked,http://opendata.wigan.gov.uk/ckan/api/3
opendataworcestermagov,Informing Worcester,opendata.worcesterma.gov,EN,Open data portal,Open,Dataset,United States,Government,CKAN,CKAN API,,,,,,,,,,checked,http://opendata.worcesterma.gov/api/3
