dbid,name,link,langs,catalog_type,access_mode,content_types,countries,owner_type,software,export_standard,add_date,update_date,catalog_export,description,owner_name,owner_link,search_index,storage_volume,dataset_count,api,api_link
helsingborgopendatasoftcom,Öppna Helsingborg - Open Helsingborg,https://helsingborg.opendatasoft.com,SV,Open data portal,Open,Dataset,Sweden,Government,OpenDataSoft,OpenDataSoft API,,,,,Helsingborg,,,,,,
navitiaopendatasoftcom,Navitia.io Open Data Transport,https://navitia.opendatasoft.com,FR,Open data portal,Open,Dataset,France,Government,OpenDataSoft,OpenDataSoft API,,,,,Keolis / Kisio Digital,,,,,,
tourisme62opendatasoftcom,Pas-de-Calais Open Data,https://tourisme62.opendatasoft.com,FR,Open data portal,Open,Dataset,France,Government,OpenDataSoft,OpenDataSoft API,,,,,Agence de Développement Touristique Pas-de-Calais,,,,,,
dataatmoreunionopendataarcgiscom,Atmo Réunion Open Data*,https://data-atmoreunion.opendata.arcgis.com,FR,Geoportal,Open,Dataset,France,,ArcGIS Hub,"DCAT AP 2.0.1,OGC Records API,DCAT US 1.1",,,,,La Réunion,,,,,,
datasatmonormandieopendataarcgiscom,Atmo Normandie Open Data*,https://datas-atmonormandie.opendata.arcgis.com,FR,Geoportal,Open,Dataset,France,,ArcGIS Hub,"DCAT AP 2.0.1,OGC Records API,DCAT US 1.1",,,,,Normandie,,,,,,
dataatmograndestopendataarcgiscom,Atmo Grand Est Open Data*,https://data-atmograndest.opendata.arcgis.com,FR,Geoportal,Open,Dataset,France,,ArcGIS Hub,"DCAT AP 2.0.1,OGC Records API,DCAT US 1.1",,,,,Grand Est,,,,,,
dataatmohdfopendataarcgiscom,Atmo Hauts de France Open Data*,https://data-atmo-hdf.opendata.arcgis.com,FR,Geoportal,Open,Dataset,France,,ArcGIS Hub,"DCAT AP 2.0.1,OGC Records API,DCAT US 1.1",,,,,Hauts-de-France,,,,,,
dataqualitaircorseopendataarcgiscom,Qualitair Corse Open Data*,https://data-qualitaircorse.opendata.arcgis.com,FR,Geoportal,Open,Dataset,France,,ArcGIS Hub,"DCAT AP 2.0.1,OGC Records API,DCAT US 1.1",,,,,Corse,,,,,,
openloiretopendataarcgiscom,Opendata Loiret,https://open-loiret.opendata.arcgis.com,FR,Geoportal,Open,Dataset,France,,ArcGIS Hub,"DCAT AP 2.0.1,OGC Records API,DCAT US 1.1",,,,,Loiret,,,,,,
esriuktechnicalsupportopendatatechsupportukopendataarcgiscom,Esri UK Technical Support Open Data,https://esriuktechnicalsupportopendata.techsupportuk.opendata.arcgis.com,EN,Geoportal,Open,Dataset,United Kingdom,,ArcGIS Hub,"DCAT AP 2.0.1,OGC Records API,DCAT US 1.1",,,,,Esri UK Technical Support Open Data,,,,,,
geoportaalshertogenboschopendataarcgiscom,Geo Portaal's-Hertogenbosch,https://geoportaal.s-hertogenbosch.opendata.arcgis.com,NL,Geoportal,Open,Dataset,Netherlands,,ArcGIS Hub,"DCAT AP 2.0.1,OGC Records API,DCAT US 1.1",,,,,Geo Portaal's-Hertogenbosch,,,,,,
datasofartdkopendataarcgiscom,Søfartsstyrelsen Open Data,https://data.sofartdk.opendata.arcgis.com,DA,Geoportal,Open,Dataset,Denmark,,ArcGIS Hub,"DCAT AP 2.0.1,OGC Records API,DCAT US 1.1",,,,,Søfartsstyrelsen Open Data,,,,,,
omygodidtsupportopendataarcgiscom,國家災害防救科技中心開放資料網站,https://omygod.idtsupport.opendata.arcgis.com,zh_TW,Geoportal,Open,Dataset,Taiwan,,ArcGIS Hub,"DCAT AP 2.0.1,OGC Records API,DCAT US 1.1",,,,,國家災害防救科技中心開放資料網站,,,,,,
tdtchinaopendataarcgiscom,天地图 Open Data计划,https://tdt.china.opendata.arcgis.com,zh_CN,Geoportal,Open,Dataset,China,,ArcGIS Hub,"DCAT AP 2.0.1,OGC Records API,DCAT US 1.1",,,,,天地图 Open Data计划,,,,,,
dataairparifassoopendataarcgiscom,Airparif Open Data*,https://data-airparif-asso.opendata.arcgis.com,FR,Geoportal,Open,Dataset,France,,ArcGIS Hub,"DCAT AP 2.0.1,OGC Records API,DCAT US 1.1",,,,,Île-de-France,,,,,,
datagwadairopendataarcgiscom,Gwad'Air Open Data*,https://data-gwadair.opendata.arcgis.com,FR,Geoportal,Open,Dataset,France,,ArcGIS Hub,"DCAT AP 2.0.1,OGC Records API,DCAT US 1.1",,,,,Guadeloupe,,,,,,
wwwcavgpopendataarcgiscom,Opendata CAVGP,https://www-cavgp.opendata.arcgis.com,FR,Geoportal,Open,Dataset,France,,ArcGIS Hub,"DCAT AP 2.0.1,OGC Records API,DCAT US 1.1",,,,,Versailles,,,,,,
datamadininairopendataarcgiscom,Madininair Open Data*,https://data-madininair.opendata.arcgis.com,FR,Geoportal,Open,Dataset,France,,ArcGIS Hub,"DCAT AP 2.0.1,OGC Records API,DCAT US 1.1",,,,,Martinique,,,,,,
dataatmonaopendataarcgiscom,Atmo Nouvelle Aquitaine Open Data*,https://data-atmo-na.opendata.arcgis.com,FR,Geoportal,Open,Dataset,France,,ArcGIS Hub,"DCAT AP 2.0.1,OGC Records API,DCAT US 1.1",,,,,Nouvelle-Aquitaine,,,,,,
dataatmooccitanieopendataarcgiscom,Atmo Occitanie Open Data*,https://data-atmo-occitanie.opendata.arcgis.com,FR,Geoportal,Open,Dataset,France,,ArcGIS Hub,"DCAT AP 2.0.1,OGC Records API,DCAT US 1.1",,,,,Occitanie,,,,,,
sgicvsopendataarcgiscom,Opendata Caux Vallée de Seine,https://sgi-cvs.opendata.arcgis.com,FR,Geoportal,Open,Dataset,France,,ArcGIS Hub,"DCAT AP 2.0.1,OGC Records API,DCAT US 1.1",,,,,Caux,,,,,,
dataligairopendataarcgiscom,Lig'Air Open Data*,https://data-ligair.opendata.arcgis.com,FR,Geoportal,Open,Dataset,France,,ArcGIS Hub,"DCAT AP 2.0.1,OGC Records API,DCAT US 1.1",,,,,Centre-Val de Loire,,,,,,
datahawamayotteopendataarcgiscom,Hawa Mayotte Open Data*,https://data-hawa-mayotte.opendata.arcgis.com,FR,Geoportal,Open,Dataset,France,,ArcGIS Hub,"DCAT AP 2.0.1,OGC Records API,DCAT US 1.1",,,,,Mayotte,,,,,,
dataatmoauraopendataarcgiscom,Atmo Aura Open Data*,https://data-atmoaura.opendata.arcgis.com,FR,Geoportal,Open,Dataset,France,,ArcGIS Hub,"DCAT AP 2.0.1,OGC Records API,DCAT US 1.1",,,,,Auvergne-Rhône-Alpes,,,,,,
dataesricancropendataarcgiscom,Esri Canada National Capital Region-Open Data,https://data.esrica-ncr.opendata.arcgis.com,EN,Geoportal,Open,Dataset,Canada,,ArcGIS Hub,"DCAT AP 2.0.1,OGC Records API,DCAT US 1.1",,,,,Esri Canada National Capital Region-Open Data,,,,,,
datosgeoredopendataarcgiscom,GEOREDOPENDATA,https://datos.geored.opendata.arcgis.com,ES,Geoportal,Open,Dataset,Panama,,ArcGIS Hub,"DCAT AP 2.0.1,OGC Records API,DCAT US 1.1",,,,,GEOREDOPENDATA,,,,,,
datahdcgisopendataarcgiscom,Hastings District Council Open Data,https://data.hdcgis.opendata.arcgis.com,EN,Geoportal,Open,Dataset,New Zealand,,ArcGIS Hub,"DCAT AP 2.0.1,OGC Records API,DCAT US 1.1",,,,,Hastings District Council Open Data,,,,,,
opendataperu1mitelematicaopendataarcgiscom,Open Data Peru Interorganizacional-Copy,https://opendataperu-1.mitelematica.opendata.arcgis.com,ES,Geoportal,Open,Dataset,Peru,,ArcGIS Hub,"DCAT AP 2.0.1,OGC Records API,DCAT US 1.1",,,,,Open Data Peru Interorganizacional-Copy,,,,,,
datadeaopendataarcgiscom,Departmentof Environmental Affairs,https://data.dea.opendata.arcgis.com,EN,Geoportal,Open,Dataset,South Africa,,ArcGIS Hub,"DCAT AP 2.0.1,OGC Records API,DCAT US 1.1",,,,,Departmentof Environmental Affairs,,,,,,
dataesrizapsopendataarcgiscom,Esri South Africa Professional Services,https://data.esriza-ps.opendata.arcgis.com,EN,Geoportal,Open,Dataset,South Africa,,ArcGIS Hub,"DCAT AP 2.0.1,OGC Records API,DCAT US 1.1",,,,,Esri South Africa Professional Services,,,,,,
datagemeentestaphorstopendataarcgiscom,Gemeente Staphorst,https://data.gemeentestaphorst.opendata.arcgis.com,NL,Geoportal,Open,Dataset,Netherlands,,ArcGIS Hub,"DCAT AP 2.0.1,OGC Records API,DCAT US 1.1",,,,,Gemeente Staphorst,,,,,,
datazottegemopendataarcgiscom,GIS Zottegem,https://data.zottegem.opendata.arcgis.com,FR,Geoportal,Open,Dataset,Belgium,,ArcGIS Hub,"DCAT AP 2.0.1,OGC Records API,DCAT US 1.1",,,,,GIS Zottegem,,,,,,
datamefccopendataarcgiscom,"Ministryof Environment,Forestand Climate Change-Open Data",https://data.mefcc.opendata.arcgis.com,,Geoportal,Open,Dataset,Ethiopia,,ArcGIS Hub,"DCAT AP 2.0.1,OGC Records API,DCAT US 1.1",,,,,"Ministryof Environment,Forestand Climate Change-Open Data",,,,,,
donneesshawiniganopendataarcgiscom,Opendata-Villede Shawinigan,https://donnees.shawinigan.opendata.arcgis.com,EN,Geoportal,Open,Dataset,Canada,,ArcGIS Hub,"DCAT AP 2.0.1,OGC Records API,DCAT US 1.1",,,,,Opendata-Villede Shawinigan,,,,,,
datasurinameonlineopendataarcgiscom,Suriname Online,https://data.surinameonline.opendata.arcgis.com,FR,Geoportal,Open,Dataset,Suriname,,ArcGIS Hub,"DCAT AP 2.0.1,OGC Records API,DCAT US 1.1",,,,,Suriname Online,,,,,,
dataaarhusgisopendataarcgiscom,Aarhus GIS,https://data.aarhusgis.opendata.arcgis.com,DA,Geoportal,Open,Dataset,Denmark,,ArcGIS Hub,"DCAT AP 2.0.1,OGC Records API,DCAT US 1.1",,,,,Aarhus GIS,,,,,,
dataesopendataarcgiscom,Gemeente Echt-Susteren,https://data.e-s.opendata.arcgis.com,NL,Geoportal,Open,Dataset,Netherlands,,ArcGIS Hub,"DCAT AP 2.0.1,OGC Records API,DCAT US 1.1",,,,,Gemeente Echt-Susteren,,,,,,
datamarlboroughopendataarcgiscom,MDC Open Data,https://data.marlborough.opendata.arcgis.com,EN,Geoportal,Open,Dataset,New Zealand,,ArcGIS Hub,"DCAT AP 2.0.1,OGC Records API,DCAT US 1.1",,,,,MDC Open Data,,,,,,
mciudadesrismopendataarcgiscom,Mi Ciudad,https://mciudad.esrism.opendata.arcgis.com,ES,Geoportal,Open,Dataset,Spain,,ArcGIS Hub,"DCAT AP 2.0.1,OGC Records API,DCAT US 1.1",,,,,Mi Ciudad,,,,,,
librarymuroranopendataarcgiscom,むろらんオープンデータライブラリ-コピー,https://library.muroran.opendata.arcgis.com,JA,Geoportal,Open,Dataset,Japan,,ArcGIS Hub,"DCAT AP 2.0.1,OGC Records API,DCAT US 1.1",,,,,むろらんオープンデータライブラリ-コピー,,,,,,
arccrarcdataopendataarcgiscom,ArcČR®500,https://arccr.arcdata.opendata.arcgis.com,CZ,Geoportal,Open,Dataset,Czech Republic,,ArcGIS Hub,"DCAT AP 2.0.1,OGC Records API,DCAT US 1.1",,,,,ArcČR®500,,,,,,
esridubaiofficeesridubaiofficeopendataarcgiscom,Esri Dubai Office,https://esridubaioffice.esridubaioffice.opendata.arcgis.com,AR,Geoportal,Open,Dataset,Saudi Arabia,,ArcGIS Hub,"DCAT AP 2.0.1,OGC Records API,DCAT US 1.1",,,,,Esri Dubai Office,,,,,,
dataforestryopendataarcgiscom,Forestry Commission,https://data.forestry.opendata.arcgis.com,EN,Geoportal,Open,Dataset,United Kingdom,,ArcGIS Hub,"DCAT AP 2.0.1,OGC Records API,DCAT US 1.1",,,,,Forestry Commission,,,,,,
datasscopendataarcgiscom,АтласэкологическихпроблемАзовскогоморя,https://data.ssc.opendata.arcgis.com,,Geoportal,Open,Dataset,Georgia,,ArcGIS Hub,"DCAT AP 2.0.1,OGC Records API,DCAT US 1.1",,,,,АтласэкологическихпроблемАзовскогоморя,,,,,,
worldviaioneastafricaregiongspaceopendataarcgiscom,World Vision GI Sopendata,https://worldviaioneastafricaregion.gspace.opendata.arcgis.com,EN,Geoportal,Open,Dataset,Kenya,,ArcGIS Hub,"DCAT AP 2.0.1,OGC Records API,DCAT US 1.1",,,,,World Vision GI Sopendata,,,,,,
datagisauopendataarcgiscom,Aarhus Universitet,https://data.gis-au.opendata.arcgis.com,DA,Geoportal,Open,Dataset,Denmark,,ArcGIS Hub,"DCAT AP 2.0.1,OGC Records API,DCAT US 1.1",,,,,Aarhus Universitet,,,,,,
datatestkommuneopendataarcgiscom,Arendalenkommune,https://data.testkommune.opendata.arcgis.com,SV,Geoportal,Open,Dataset,Sweden,,ArcGIS Hub,"DCAT AP 2.0.1,OGC Records API,DCAT US 1.1",,,,,Arendalenkommune,,,,,,
atlanticesricaatlanticopendataarcgiscom,Atlantic Region Open Data(new Framework)-Demonstration Site-Copy,https://atlantic.esrica-atlantic.opendata.arcgis.com,EN,Geoportal,Open,Dataset,Canada,,ArcGIS Hub,"DCAT AP 2.0.1,OGC Records API,DCAT US 1.1",,,,,Atlantic Region Open Data(new Framework)-Demonstration Site-Copy,,,,,,
datalambethcouncilopendataarcgiscom,londonboroughoflambeth,https://data.lambethcouncil.opendata.arcgis.com,EN,Geoportal,Open,Dataset,United Kingdom,,ArcGIS Hub,"DCAT AP 2.0.1,OGC Records API,DCAT US 1.1",,,,,londonboroughoflambeth,,,,,,
mappingdataesriirelandopendataarcgiscom,Mapping Data,https://mappingdata.esriireland.opendata.arcgis.com,EN,Geoportal,Open,Dataset,Ireland,,ArcGIS Hub,"DCAT AP 2.0.1,OGC Records API,DCAT US 1.1",,,,,Mapping Data,,,,,,
ecuadoresrilatinamericaopendataarcgiscom,Prueba EPMAPS,https://ecuador.esrilatinamerica.opendata.arcgis.com,ES,Geoportal,Open,Dataset,Colombia,,ArcGIS Hub,"DCAT AP 2.0.1,OGC Records API,DCAT US 1.1",,,,,Prueba EPMAPS,,,,,,
data1nagareyamamidoriopendataarcgiscom,流山市オープンデータマップ,https://data1.nagareyamamidori.opendata.arcgis.com,JA,Geoportal,Open,Dataset,Japan,,ArcGIS Hub,"DCAT AP 2.0.1,OGC Records API,DCAT US 1.1",,,,,流山市オープンデータマップ,,,,,,
datalbhiopendataarcgiscom,LandbúnaðarháskóliÍslands,https://data.lbhi.opendata.arcgis.com,IS,Geoportal,Open,Dataset,Iceland,,ArcGIS Hub,"DCAT AP 2.0.1,OGC Records API,DCAT US 1.1",,,,,LandbúnaðarháskóliÍslands,,,,,,
opendatazvbnopendataarcgiscom,Open Data ZVBN,https://opendata.zvbn.opendata.arcgis.com,DE,Geoportal,Open,Dataset,Germany,,ArcGIS Hub,"DCAT AP 2.0.1,OGC Records API,DCAT US 1.1",,,,,Zentraler Verkehrsverbund Bremen/ Niedersachsen,,,,,,
data2bergamoopendataarcgiscom,SIT Comunedi Bergamo,https://data2.bergamo.opendata.arcgis.com,IT,Geoportal,Open,Dataset,Italy,,ArcGIS Hub,"DCAT AP 2.0.1,OGC Records API,DCAT US 1.1",,,,,SIT Comunedi Bergamo,,,,,,
datacd37opendataarcgiscom,Open Data Conseil Départemental d'Indre-et-Loire (CD37),https://data-cd37.opendata.arcgis.com,FR,Geoportal,Open,Dataset,France,,ArcGIS Hub,"DCAT AP 2.0.1,OGC Records API,DCAT US 1.1",,,,,Conseil Départemental d'Indre-et-Loire (CD37),,,,,,
atlanticfresricaatlanticopendataarcgiscom,Atlantic Region Francais,https://atlanticfr.esrica-atlantic.opendata.arcgis.com,EN,Geoportal,Open,Dataset,Canada,,ArcGIS Hub,"DCAT AP 2.0.1,OGC Records API,DCAT US 1.1",,,,,Atlantic Region Francais,,,,,,
electionsbzetbslopendataarcgiscom,Belize Elections,https://electionsbze.tbsl.opendata.arcgis.com,EN,Geoportal,Open,Dataset,Belize,,ArcGIS Hub,"DCAT AP 2.0.1,OGC Records API,DCAT US 1.1",,,,,Belize Elections,,,,,,
dadesobertessituamopendataarcgiscom,Dadesobertes Manlleu,https://dadesobertes.situam.opendata.arcgis.com,ES,Geoportal,Open,Dataset,Spain,,ArcGIS Hub,"DCAT AP 2.0.1,OGC Records API,DCAT US 1.1",,,,,Dadesobertes Manlleu,,,,,,
datosgoblocopendataarcgiscom,Gobierno Local Datos Abiertos,https://datos.gobloc.opendata.arcgis.com,ES,Geoportal,Open,Dataset,Costa Rica,,ArcGIS Hub,"DCAT AP 2.0.1,OGC Records API,DCAT US 1.1",,,,,Gobierno Local Datos Abiertos,,,,,,
datakalmaropendataarcgiscom,Kalmarkommun,https://data.kalmar.opendata.arcgis.com,SV,Geoportal,Open,Dataset,Sweden,,ArcGIS Hub,"DCAT AP 2.0.1,OGC Records API,DCAT US 1.1",,,,,Kalmarkommun,,,,,,
datalitomericeopendataarcgiscom,Město Litoměřice Open Data,https://data.litomerice.opendata.arcgis.com,CZ,Geoportal,Open,Dataset,Czech Republic,,ArcGIS Hub,"DCAT AP 2.0.1,OGC Records API,DCAT US 1.1",,,,,Město Litoměřice Open Data,,,,,,
datatechsupportukopendataarcgiscom,Paul Hickson OD,https://data.techsupportuk.opendata.arcgis.com,EN,Geoportal,Open,Dataset,United Kingdom,,ArcGIS Hub,"DCAT AP 2.0.1,OGC Records API,DCAT US 1.1",,,,,Paul Hickson OD,,,,,,
olpdesheopendataarcgiscom,אתרשיתוףהמידעשלפורטלהשטחיםהפתוחים,https://olp.deshe.opendata.arcgis.com,AR,Geoportal,Open,Dataset,Jordan,,ArcGIS Hub,"DCAT AP 2.0.1,OGC Records API,DCAT US 1.1",,,,,אתרשיתוףהמידעשלפורטלהשטחיםהפתוחים,,,,,,
dateigsuopendataarcgiscom,Inspectoratul Generalpentru Situațiide Urgență,https://date.igsu.opendata.arcgis.com,RO,Geoportal,Open,Dataset,Romania,,ArcGIS Hub,"DCAT AP 2.0.1,OGC Records API,DCAT US 1.1",,,,,Inspectoratul Generalpentru Situațiide Urgență,,,,,,
datasbhamopendataarcgiscom,Service Birmingham,https://data.sbham.opendata.arcgis.com,EN,Geoportal,Open,Dataset,United Kingdom,,ArcGIS Hub,"DCAT AP 2.0.1,OGC Records API,DCAT US 1.1",,,,,Service Birmingham,,,,,,
opendatawrijopendataarcgiscom,Waterschap Rijnen I Jssel,https://opendata.wrij.opendata.arcgis.com,NL,Geoportal,Open,Dataset,Netherlands,,ArcGIS Hub,"DCAT AP 2.0.1,OGC Records API,DCAT US 1.1",,,,,Waterschap Rijnen I Jssel,,,,,,
daticosgeotecopendataarcgiscom,Daticos-Datos Abiertos Geotecnologias S.A.,https://daticos.geotec.opendata.arcgis.com,ES,Geoportal,Open,Dataset,Costa Rica,,ArcGIS Hub,"DCAT AP 2.0.1,OGC Records API,DCAT US 1.1",,,,,Daticos-Datos Abiertos Geotecnologias S.A.,,,,,,
capitaleesriquebecopendataarcgiscom,Données ouvertes de la ville de Québec(démo),https://capitale.esriquebec.opendata.arcgis.com,EN,Geoportal,Open,Dataset,Canada,,ArcGIS Hub,"DCAT AP 2.0.1,OGC Records API,DCAT US 1.1",,,,,Données ouvertes de la ville de Québec (démo),,,,,,
data3esribulgariaopendataarcgiscom,ESRI Bulgaria,https://data3.esribulgaria.opendata.arcgis.com,BG,Geoportal,Open,Dataset,Bulgaria,,ArcGIS Hub,"DCAT AP 2.0.1,OGC Records API,DCAT US 1.1",,,,,ESRI Bulgaria,,,,,,
esriuktechnicalsupportopendata1techsupportukopendataarcgiscom,Esri UK Technical Support Open Data-Copy,https://esriuktechnicalsupportopendata-1.techsupportuk.opendata.arcgis.com,EN,Geoportal,Open,Dataset,United Kingdom,,ArcGIS Hub,"DCAT AP 2.0.1,OGC Records API,DCAT US 1.1",,,,,Esri UK Technical Support Open Data-Copy,,,,,,
historickygiscuniopendataarcgiscom,Historickádatav GIS,https://historickygis.cuni.opendata.arcgis.com,CZ,Geoportal,Open,Dataset,Czech Republic,,ArcGIS Hub,"DCAT AP 2.0.1,OGC Records API,DCAT US 1.1",,,,,Historickádatav GIS,,,,,,
dataimagemopendataarcgiscom,Imagem-Inteligência Geográficainspirandoofuturo,https://data.imagem.opendata.arcgis.com,PT,Geoportal,Open,Dataset,Brazil,,ArcGIS Hub,"DCAT AP 2.0.1,OGC Records API,DCAT US 1.1",,,,,Imagem-Inteligência Geográficainspirandoofuturo,,,,,,
portalmadridopendataarcgiscom,Portal Open Data Ayto Madrid,https://portal.madrid.opendata.arcgis.com,ES,Geoportal,Open,Dataset,Spain,,ArcGIS Hub,"DCAT AP 2.0.1,OGC Records API,DCAT US 1.1",,,,,Portal Open Data Ayto Madrid,,,,,,
datacityofpgopendataarcgiscom,"Prince George, British Columbia",https://data-cityofpg.opendata.arcgis.com,EN,Geoportal,Open,Dataset,Canada,,ArcGIS Hub,"DCAT AP 2.0.1,OGC Records API,DCAT US 1.1",,,,,City Of Prince George,,,,,,
datawestberksopendataarcgiscom,West Berkshire Council,https://data.westberks.opendata.arcgis.com,EN,Geoportal,Open,Dataset,United Kingdom,,ArcGIS Hub,"DCAT AP 2.0.1,OGC Records API,DCAT US 1.1",,,,,West Berkshire Council,,,,,,
arcgischbtkopendataarcgiscom,Чебоксары-Телеком,https://arcgis.chbtk.opendata.arcgis.com,RU,Geoportal,Open,Dataset,Russian Federation,,ArcGIS Hub,"DCAT AP 2.0.1,OGC Records API,DCAT US 1.1",,,,,Чебоксары-Телеком,,,,,,
datadonegalopendataarcgiscom,County Donegal Maps,https://data.donegal.opendata.arcgis.com,EN,Geoportal,Open,Dataset,Ireland,,ArcGIS Hub,"DCAT AP 2.0.1,OGC Records API,DCAT US 1.1",,,,,County Donegal Maps,,,,,,
kmodbeirutgardensopendataarcgiscom,Arc GIS Online,https://kmod.beirutgardens.opendata.arcgis.com,AR,Geoportal,Open,Dataset,Kuwait,,ArcGIS Hub,"DCAT AP 2.0.1,OGC Records API,DCAT US 1.1",,,,,Arc GIS Online,,,,,,
datanelsoncityopendataarcgiscom,Nelson City Council Open Data,https://data.nelsoncity.opendata.arcgis.com,EN,Geoportal,Open,Dataset,New Zealand,,ArcGIS Hub,"DCAT AP 2.0.1,OGC Records API,DCAT US 1.1",,,,,Nelson City Council Open Data,,,,,,
datakupkopendataarcgiscom,Plzeňskýkraj,https://data.kupk.opendata.arcgis.com,CZ,Geoportal,Open,Dataset,Czech Republic,,ArcGIS Hub,"DCAT AP 2.0.1,OGC Records API,DCAT US 1.1",,,,,Plzeňskýkraj,,,,,,
datautncropendataarcgiscom,Universidad Técnica Nacional,https://data.utncr.opendata.arcgis.com,ES,Geoportal,Open,Dataset,Costa Rica,,ArcGIS Hub,"DCAT AP 2.0.1,OGC Records API,DCAT US 1.1",,,,,Universidad Técnica Nacional,,,,,,
uppsalaesrisverigeopendataarcgiscom,Uppsalakommun,https://uppsala.esrisverige.opendata.arcgis.com,SV,Geoportal,Open,Dataset,Sweden,,ArcGIS Hub,"DCAT AP 2.0.1,OGC Records API,DCAT US 1.1",,,,,Uppsalakommun,,,,,,
vegetationesrieasolutionsopendataarcgiscom,Esri EASolutions,https://vegetation.esrieasolutions.opendata.arcgis.com,EN,Geoportal,Open,Dataset,Kenya,,ArcGIS Hub,"DCAT AP 2.0.1,OGC Records API,DCAT US 1.1",,,,,Esri EASolutions,,,,,,
easternafricacapitalsesrieasolutionsopendataarcgiscom,Esri EASolutions Open Data,https://easternafricacapitals.esrieasolutions.opendata.arcgis.com,,Geoportal,Open,Dataset,Ethiopia,,ArcGIS Hub,"DCAT AP 2.0.1,OGC Records API,DCAT US 1.1",,,,,Esri EASolutions Open Data,,,,,,
goimbopendataarcgiscom,imb Mapping,https://go.imb.opendata.arcgis.com,FA,Geoportal,Open,Dataset,Iran,,ArcGIS Hub,"DCAT AP 2.0.1,OGC Records API,DCAT US 1.1",,,,,imb Mapping,,,,,,
stadtmittenwaldeopendataarcgiscom,Mittenwalde Open Data,https://stadt.mittenwalde.opendata.arcgis.com,DE,Geoportal,Open,Dataset,Germany,,ArcGIS Hub,"DCAT AP 2.0.1,OGC Records API,DCAT US 1.1",,,,,Open Data Stadt Mittenwalde,,,,,,
dataporiopendataarcgiscom,Porin Kaupunki,https://data.pori.opendata.arcgis.com,FI,Geoportal,Open,Dataset,Finland,,ArcGIS Hub,"DCAT AP 2.0.1,OGC Records API,DCAT US 1.1",,,,,Porin Kaupunki,,,,,,
redcpmatawaopendataarcgiscom,Regional Ecological Data Collection Project,https://redcp.matawa.opendata.arcgis.com,EN,Geoportal,Open,Dataset,Canada,,ArcGIS Hub,"DCAT AP 2.0.1,OGC Records API,DCAT US 1.1",,,,,Regional Ecological Data Collection Project,,,,,,
rlcpublicdataboplassopendataarcgiscom,Rotorua Lakes Council Spatial Data,https://rlcpublicdata.boplass.opendata.arcgis.com,EN,Geoportal,Open,Dataset,New Zealand,,ArcGIS Hub,"DCAT AP 2.0.1,OGC Records API,DCAT US 1.1",,,,,Rotorua Lakes Council Spatial Data,,,,,,
saudiesridubaiofficeopendataarcgiscom,Saudi Arabia Arc GIS Online,https://saudi.esridubaioffice.opendata.arcgis.com,AR,Geoportal,Open,Dataset,Saudi Arabia,,ArcGIS Hub,"DCAT AP 2.0.1,OGC Records API,DCAT US 1.1",,,,,Saudi Arabia Arc GIS Online,,,,,,
dataannecyopendataarcgiscom,Ville d'Annecy,https://data.annecy.opendata.arcgis.com,FR,Geoportal,Open,Dataset,France,,ArcGIS Hub,"DCAT AP 2.0.1,OGC Records API,DCAT US 1.1",,,,,Ville d'Annecy,,,,,,
datawccopendataarcgiscom,Wellington City Council Open Data Portal,https://data-wcc.opendata.arcgis.com,EN,Geoportal,Open,Dataset,New Zealand,,ArcGIS Hub,"DCAT AP 2.0.1,OGC Records API,DCAT US 1.1",,,,,Wellington City Council,,,,,,
hubfrstadkommopendataarcgiscom,Åpne data i Fredrikstad,https://hub-frstadkomm.opendata.arcgis.com,PT,Geoportal,Open,Dataset,Norway,,ArcGIS Hub,"DCAT AP 2.0.1,OGC Records API,DCAT US 1.1",,,,,Fredrikstad kommune,,,,,,
datacityofcambridgeopendataarcgiscom,"Cambridge,Ontario",https://data.cityofcambridge.opendata.arcgis.com,EN,Geoportal,Open,Dataset,Canada,,ArcGIS Hub,"DCAT AP 2.0.1,OGC Records API,DCAT US 1.1",,,,,"Cambridge,Ontario",,,,,,
datagoirleopendataarcgiscom,Gemeente Goirle,https://data.goirle.opendata.arcgis.com,NL,Geoportal,Open,Dataset,Netherlands,,ArcGIS Hub,"DCAT AP 2.0.1,OGC Records API,DCAT US 1.1",,,,,Gemeente Goirle,,,,,,
datahslhrtopendataarcgiscom,Helsinginseudunliikenne(HSL),https://data.hslhrt.opendata.arcgis.com,FI,Geoportal,Open,Dataset,Finland,,ArcGIS Hub,"DCAT AP 2.0.1,OGC Records API,DCAT US 1.1",,,,,Helsinginseudunliikenne(HSL),,,,,,
nichtbsldemoopendataarcgiscom,National Instituteof Cultureand History,https://nich.tbsldemo.opendata.arcgis.com,EN,Geoportal,Open,Dataset,Belize,,ArcGIS Hub,"DCAT AP 2.0.1,OGC Records API,DCAT US 1.1",,,,,National Instituteof Cultureand History,,,,,,
dataosiopendataarcgiscom,Ordnance Survey Ireland,https://data.osi.opendata.arcgis.com,EN,Geoportal,Open,Dataset,Ireland,,ArcGIS Hub,"DCAT AP 2.0.1,OGC Records API,DCAT US 1.1",,,,,Ordnance Survey Ireland,,,,,,
dataesripressbooksopendataarcgiscom,Esri Press-Official Book Site,https://data.esripressbooks.opendata.arcgis.com,,Geoportal,Open,Dataset,Mali,,ArcGIS Hub,"DCAT AP 2.0.1,OGC Records API,DCAT US 1.1",,,,,Esri Press-Official Book Site,,,,,,
